JCLATZA 47,COLGANTE AZABACHE LABRADO
JCLTURM 48,COLGANTE TURMALINA LABRADA
JCLATZA 49,COLGANTE AZABACHE LABRADO
JCLAMRE 46,COLGANTE AMBAR
JCLQFAD 45,COLGANTE CUARZO FADEN
JCLOPAL 44,COLGANTE OPAL 
JCLLOOS 43,COLGANTE LOTUS LABRADO
JCLCOFO 33,COLGANTE CORAL FOSIL
JCLBRES 41,COLGANTE BRONCITA
JBRNACA 39,PULSERA DE PERLAS KEISHI
JBRLARI 38,PULSERA LARIMAR
JBRARPL 37,PULSERA PLATA
JBRATZA 36,PULSERA AZABACHE
JBRNACA 35,PULSERA NACAR
JBRNACA 34,PULSERA NACAR
JCLQRUT 40,COLGANTE CUARZO RUTILADO
JCLTUCH 32,COLGANTE TURMALINA CHORL
JCLCORA 42,COLGANTE CORAL 
JCLOPFO 30,COLGANTE OPAL FUEGO
MBTURM 52,TURMALINA
MINHELI 51,HELIODOR
MINWOLPA 50,WALFRAMIO
MBAMMPI 47,AMMONITE PIRITIZADO
MINCOFO 49,CORAL FOSIL
MINCOFO 48,CORAL FOSIL
MINCOFO 45,CORAL FOSIL
MBQBILEM 46,Quarzo biterminado
MBQBILEM 44,Quarzo biterminado
MBQBILEM 43,Quarzo biterminado
MBQBILEM 42,Quarzo biterminado
GCULTI 100,OJO DE TIGRE
GCPERI 101,PERIDOTO
GCPLLU 99,PIEDRA  LLUNA
GCPLLU 98,PIEDRA  LLUNA
GCPERI 97,PERIDOTO
GCOOBRA 96,OBSIDIANA ARCO IRIS 
GCESFE 95,ESFALERITA
GCESFE 94,ESFALERITA
GCOPET 93,OPALO ETIOPIA
GCRODOC 92,RODOCROSITA
GCRODO91,RODONITA
GCPIET 90,PIETERSITA
GCSODA 89,SODALITA
GCAMBO 88,AMBAR BORNEO
GCCALC 87,Calcedonia
GCPIRO 86,PIROXMANGITA
GCJADJAD 85,JADE JADEITA
GCAERI84,AERINITA
CAJADJAD 82,Huevo jade jadeita
CAJADJAD 81,Elefante jade jadeita
CAJADJAD 80,Oso jade jadeita
MINAMMCOP 29,AMMONITES FOSIL
MINAMB 5,AMBAR DE UCRANIA
GCPSERP79,SERPENTINA
MINFLOAM 25,FLOR AMATISTA
CALYBI 72,CARVING ESCARABAJO
MINTURQ23, TURQUESA NATURAL
MINTURQ22, TURQUESA NATURAL
GFQUTUR69,CUARZO TURMALINA
GFQUTUR68,CUARZO TURMALINA
MBORTU 40,ORTOSA
MBORTU 41,ORTOSA
MBORTU 39,ORTOSA
MBQ.CITR 38,CUARZO CITRINO
MBQ.CITR 37,CUARZO CITRINO
MBQ.CITR 36,CUARZO CITRINO
MBQ.CITR 35,CUARZO CITRINO
MBQ.CITR 34,CUARZO CITRINO
GCOPAET 73,OPALO ETIOPIA
GCOPAET 75,OPALO ETIOPIA
GCOPAET 77,OPALO ETIOPIA
GCOPAET 76,OPALO ETIOPIA
MBCORA33,CORAL ROJO MEDITERRANEO
MBCORA32,CORAL ROJO MEDITERRANEO
MBCORA31,CORAL ROJO MEDITERRANEO
MBCORA30,CORAL ROJO MEDITERRANEO
MBCORA29,CORAL ROJO MEDITERRANEO
GCOPAET 74,OPALO ETIOPIA
MINPINY 26,PIÑA FÓSIL ARAUCARIA
GCPEIN41,PIEDRA INCA
MINPINY 28,PIÑA FÓSIL ARAUCARIA
MINPINY 27,PIÑA FÓSIL ARAUCARIA
JANMOLD30,ANILLO DE MOLDAVITA
JANTURQ31,ANILLO DE TURQUESA
CALAPI 78,CARVING ESCARABAJO
GCSONASUN 64,SONORA SUNRISE
GCPIRO 67,PIROXMANGITA
GCSODA 62,SODALITA
GCPEIN 66,PIEDRA INCA
GCJADJAD 61,JADE JADEITA
GCSER 63,SERPENTINA
GCPECI 65,PIEDRA CINTA
CL.JASP29,COLLAR DE JASPE
CL.JASP28,COLLAR DE JASPE
JCLQUARO26,COLGANTE CUARZO ROSA 
JCLGRAROD27,COLLAR DE GRANATE RODOLITA
JCLMORG25,COLLAR MORGANITA
JCLPELLU19,COLLAR PIEDRA  LLUNA
JCLPELLU21,COLLAR PIEDRA  LLUNA
GCRODO48,RODOCROSITA
GCSUGE49,SUGILITA
GCPEIN40,PIEDRA INCA
GCOPMEX,OPALO MEJICO
GCOPMEX,OPALO MEJICO
GFAMAT43,AMATISTA
GFESPE45,ESPESARTITA
GFESPE70,ESPESARTITA
GCOPAL47,OPALO AFRICA
GCJADJAD54,JADE JADEITA
GCJADJAD56,JADE JADEITA
GCJADJAD55,JADE JADEITA
GCJADJAD53,JADE JADEITA
GCJADJAD52,JADE JADEITA
GCJADJAD51,JADE JADEITA
GCJADJAD59,JADE JADEITA
GCJADJAD58,JADE JADEITA
GCJADJAD57,JADE JADEITA
GCJADJAD60,JADE JADEITA
GFANDA44,ANDALUCITA 2 UNIDADES.
JCLTURM20,COLLAR DE TURMALINA MULTICOLOR.
CL.GRAES22,COLLAR DE GRANATE ESTRELLA
CAJAD1,Tigre de jade jadeita
MINTURDRA 18,CRISTAL DE TURMALINA DRAVITA
MINWOLF 16,WOLFRAMITA
MINAIG 17,BRUTO AGUAMARINA+ORTOSA+CUARZO
MINAMB 10,AMBAR SUMATRA
MINAMB 8,AMBAR BORNEO
MINAMB 9,AMBAR
MINAMB 12,AMBAR SUMATRA
